Transaction_ID,Date,Product_ID,Customer_ID,Payment_Method,Quantity,Selling_Price,Discount_Pct,Revenue,Customer_Rating
TXN100935,2021-01-01 00:27:41,P004,CU0425,UPI,1,44537.23,0.0,44537.23,4.0
TXN104315,2021-01-01 09:26:51,P010,CU0025,Cash,4,36967.84,0.0,147871.36,3.0
TXN100550,2021-01-01 11:21:55,P004,CU0440,Debit Card,2,49542.46,15.0,99084.92,2.5
TXN100889,2021-01-01 15:45:04,P014,CU0299,Debit Card,1,28542.79,8.0,28542.79,3.0
TXN100730,2021-01-01 17:05:58,P008,CU0375,Debit Card,3,26508.98,10.0,79526.94,3.0
TXN100233,2021-01-01 20:00:35,P010,CU0147,Debit Card,4,45482.35,3.0,181929.4,4.5
TXN102496,2021-01-02 00:50:05,P005,CU0002,UPI,2,39018.45,3.0,78036.9,3.5
TXN100828,2021-01-02 10:10:19,P015,CU0461,UPI,1,17474.3,0.0,17474.3,3.5
TXN101854,2021-01-02 12:11:10,P003,CU0281,Credit Card,1,71086.26,0.0,71086.26,2.5
TXN102339,2021-01-02 12:22:37,P017,CU0445,Debit Card,1,16042.89,0.0,16042.89,4.5
TXN100601,2021-01-02 20:37:55,P015,CU0098,UPI,5,13141.75,0.0,65708.75,3.5
TXN104050,2021-01-03 07:02:58,P005,CU0466,Debit Card,2,62191.09,3.0,124382.18,4.0
TXN102408,2021-01-03 22:27:23,P015,CU0171,Cash,1,15611.61,8.0,15611.61,3.5
TXN100822,2021-01-04 02:55:05,P010,CU0077,Cash,1,39021.46,0.0,39021.46,3.0
TXN101384,2021-01-04 07:08:30,P011,CU0023,Debit Card,3,24642.75,5.0,73928.25,4.0
TXN100925,2021-01-05 01:00:26,P017,CU0346,Debit Card,1,11211.28,0.0,11211.28,3.5
TXN101936,2021-01-05 08:03:40,P002,CU0344,Credit Card,1,58109.72,5.0,58109.72,4.5
TXN101151,2021-01-05 10:03:56,P001,CU0245,UPI,3,53667.21,10.0,161001.63,2.5
TXN100983,2021-01-05 21:37:34,P007,CU0473,Credit Card,1,50558.13,0.0,50558.13,4.0
TXN104244,2021-01-05 21:48:52,P011,CU0196,UPI,1,32306.4,8.0,32306.4,4.5
TXN100310,2021-01-05 23:23:58,P016,CU0104,Debit Card,3,12388.95,10.0,37166.85,3.0
TXN101940,2021-01-06 04:57:50,P016,CU0154,UPI,1,24126.78,0.0,24126.78,5.0
TXN103512,2021-01-06 07:41:08,P008,CU0180,Credit Card,1,23605.74,8.0,23605.74,2.0
TXN101894,2021-01-06 10:08:46,P007,CU0311,Credit Card,2,36260.21,0.0,72520.42,2.5
TXN103716,2021-01-06 11:08:04,P001,CU0285,UPI,3,49164.37,5.0,147493.11,2.5
TXN101361,2021-01-06 18:08:21,P011,CU0128,Debit Card,2,45116.74,8.0,90233.48,4.5
TXN102911,2021-01-07 01:32:18,P016,CU0187,Cash,2,18057.41,0.0,36114.82,4.0
TXN100401,2021-01-07 11:54:42,P015,CU0081,Credit Card,3,17389.8,3.0,52169.4,4.0
TXN103133,2021-01-08 05:49:34,P010,CU0180,Cash,3,34978.54,3.0,104935.62,3.5
TXN104125,2021-01-08 06:18:39,P010,CU0029,Cash,5,26787.79,3.0,133938.95,3.0
TXN102754,2021-01-08 07:10:00,P013,CU0025,UPI,1,17424.23,5.0,17424.23,5.0
TXN103846,2021-01-08 16:18:52,P005,CU0203,Cash,1,58178.87,10.0,58178.87,4.5
TXN103416,2021-01-08 17:36:35,P001,CU0128,Debit Card,1,42629.53,5.0,42629.53,3.0
TXN100135,2021-01-08 18:31:02,P008,CU0317,Credit Card,3,47956.08,10.0,143868.24,4.0
TXN103997,2021-01-09 07:42:16,P011,CU0489,Debit Card,1,30702.98,5.0,30702.98,3.5
TXN100284,2021-01-09 23:58:54,P008,CU0027,Cash,1,40232.68,8.0,40232.68,2.0
TXN102080,2021-01-10 05:59:15,P003,CU0036,Credit Card,1,45298.81,0.0,45298.81,4.0
TXN101900,2021-01-10 09:02:18,P015,CU0494,Credit Card,1,22954.48,0.0,22954.48,3.0
TXN103969,2021-01-11 02:28:16,P003,CU0375,Cash,5,61296.53,0.0,306482.65,3.5
TXN103015,2021-01-11 04:56:32,P014,CU0274,Credit Card,1,31879.58,0.0,31879.58,3.5
TXN101167,2021-01-12 02:49:09,P013,CU0289,Credit Card,2,17246.51,0.0,34493.02,4.0
TXN100781,2021-01-12 11:34:43,P002,CU0268,Debit Card,1,48490.66,8.0,48490.66,5.0
TXN104068,2021-01-12 21:12:28,P009,CU0041,Cash,2,19294.82,0.0,38589.64,3.5
TXN101738,2021-01-13 03:05:20,P002,CU0156,Cash,1,52830.47,3.0,52830.47,3.5
TXN100793,2021-01-13 09:10:10,P003,CU0293,Cash,4,58428.04,0.0,233712.16,2.5
TXN100171,2021-01-13 16:16:23,P017,CU0189,Credit Card,1,18989.0,10.0,18989.0,4.0
TXN101798,2021-01-13 22:56:01,P008,CU0443,Credit Card,2,32886.22,0.0,65772.44,3.0
TXN102832,2021-01-14 01:11:43,P008,CU0353,Debit Card,3,57043.07,5.0,171129.21,3.5
TXN100656,2021-01-14 07:41:24,P015,CU0202,Credit Card,5,27517.24,5.0,137586.2,5.0
TXN100921,2021-01-14 13:19:29,P011,CU0071,Credit Card,1,22091.61,10.0,22091.61,4.0
TXN100431,2021-01-15 16:57:21,P004,CU0023,UPI,2,73840.75,0.0,147681.5,4.5
TXN104031,2021-01-15 17:32:24,P015,CU0467,Debit Card,1,15572.82,3.0,15572.82,5.0
TXN102879,2021-01-16 01:37:43,P002,CU0467,UPI,3,64408.73,0.0,193226.19,2.5
TXN100729,2021-01-16 08:09:36,P010,CU0374,Debit Card,3,19485.67,8.0,58457.01,4.0
TXN100285,2021-01-16 10:54:37,P011,CU0164,UPI,1,40531.99,5.0,40531.99,3.0
TXN100374,2021-01-16 12:04:33,P006,CU0168,Cash,2,18395.73,15.0,36791.46,4.5
TXN104063,2021-01-16 15:30:38,P015,CU0320,Cash,1,28095.63,3.0,28095.63,3.5
TXN103116,2021-01-16 18:59:50,P011,CU0097,Credit Card,1,32129.44,0.0,32129.44,3.0
TXN102188,2021-01-16 23:00:26,P006,CU0111,Debit Card,1,20129.77,3.0,20129.77,4.5
TXN100753,2021-01-17 02:01:28,P007,CU0325,UPI,1,49952.49,10.0,49952.49,5.0
TXN103475,2021-01-17 02:18:43,P015,CU0342,UPI,1,23932.52,8.0,23932.52,4.0
TXN101910,2021-01-17 06:19:42,P017,CU0252,Cash,5,27470.17,0.0,137350.85,4.0
TXN104276,2021-01-17 21:22:03,P006,CU0318,Debit Card,1,45118.36,10.0,45118.36,4.5
TXN103443,2021-01-18 00:57:02,P016,CU0164,Credit Card,2,16377.73,3.0,32755.46,3.5
TXN104034,2021-01-18 07:41:52,P015,CU0204,Credit Card,2,14224.96,3.0,28449.92,5.0
TXN100463,2021-01-18 10:13:51,P005,CU0220,UPI,2,54594.93,0.0,109189.86,2.5
TXN101444,2021-01-18 15:28:45,P011,CU0170,Credit Card,1,48344.12,0.0,48344.12,3.5
TXN102809,2021-01-20 16:53:32,P010,CU0474,Debit Card,3,24429.46,8.0,73288.38,3.0
TXN100198,2021-01-20 19:59:21,P017,CU0202,Credit Card,1,27055.53,0.0,27055.53,3.5
TXN100613,2021-01-21 04:29:42,P002,CU0391,Credit Card,3,65744.81,0.0,197234.43,3.5
TXN103134,2021-01-21 12:26:28,P016,CU0166,Cash,2,11123.35,0.0,22246.7,3.5
TXN103861,2021-01-22 01:31:51,P006,CU0249,UPI,1,60469.62,5.0,60469.62,4.0
TXN100581,2021-01-22 19:23:25,P011,CU0357,Credit Card,4,40771.53,3.0,163086.12,3.5
